impulse_data_id	measurement_id	impulse_data_start_time	impulse_data_end_time	impulse_data_duration	impulse_data_threshold	impulse_data_min	impulse_data_avg	impulse_data_max	Threshold	ScanWindowSize	PreImpulseSize	PostImpulseSize	TimeOfMin	TimeOfMax	Severity	Rank
486518	102032	2020-11-16 6:11:45	2020-11-16 6:16:01	256	19.84616	52.38462	85.28192982	92.38462	258	200	200	500	2020-11-16 6:12:44	2020-11-16 6:13:27	0.9380650763	4
time_stamp	value
2020-11-16 06:12:36.0000000	91.00001
2020-11-16 06:12:36.2500000	91.00001
2020-11-16 06:12:36.5000000	90.92308
2020-11-16 06:12:36.7500000	90.76923
2020-11-16 06:12:37.0000000	91.23077
2020-11-16 06:12:37.2500000	91.00001
2020-11-16 06:12:37.5000000	90.92308
2020-11-16 06:12:37.7500000	90.84616
2020-11-16 06:12:38.0000000	90.84616
2020-11-16 06:12:38.2500000	90.92308
2020-11-16 06:12:38.5000000	91.00001
2020-11-16 06:12:38.7500000	90.92308
2020-11-16 06:12:39.0000000	90.92308
2020-11-16 06:12:39.2500000	91.00001
2020-11-16 06:12:39.5000000	90.92308
2020-11-16 06:12:39.7500000	91.00001
2020-11-16 06:12:40.0000000	91.07693
2020-11-16 06:12:40.2500000	91.38462
2020-11-16 06:12:40.5000000	91.46154
2020-11-16 06:12:40.7500000	91.61539
2020-11-16 06:12:41.0000000	91.69231
2020-11-16 06:12:41.2500000	91.61539
2020-11-16 06:12:41.5000000	91.76923
2020-11-16 06:12:41.7500000	91.53847
2020-11-16 06:12:42.0000000	91.84616
2020-11-16 06:12:42.2500000	91.84616
2020-11-16 06:12:42.5000000	92.07693
2020-11-16 06:12:42.7500000	92.23077
2020-11-16 06:12:43.0000000	92.30769
2020-11-16 06:12:43.2500000	92.23077
2020-11-16 06:12:43.5000000	92.38462
2020-11-16 06:12:43.7500000	92.15385
2020-11-16 06:12:44.0000000	92.23077
2020-11-16 06:12:44.2500000	92.07693
2020-11-16 06:12:44.5000000	92.23077
2020-11-16 06:12:44.7500000	92.15385
2020-11-16 06:12:45.0000000	92.23077
2020-11-16 06:12:45.2500000	92.23077
2020-11-16 06:12:45.5000000	92.15385
2020-11-16 06:12:45.7500000	92.00001
2020-11-16 06:12:46.0000000	92.00001
2020-11-16 06:12:46.2500000	92.00001
2020-11-16 06:12:46.5000000	91.76923
2020-11-16 06:12:46.7500000	91.76923
2020-11-16 06:12:47.0000000	91.61539
2020-11-16 06:12:47.2500000	91.53847
2020-11-16 06:12:47.5000000	91.53847
2020-11-16 06:12:47.7500000	91.38462
2020-11-16 06:12:48.0000000	91.53847
2020-11-16 06:12:48.2500000	91.46154
2020-11-16 06:12:48.5000000	91.38462
2020-11-16 06:12:48.7500000	91.23077
2020-11-16 06:12:49.0000000	91.23077
2020-11-16 06:12:49.2500000	91.23077
2020-11-16 06:12:49.5000000	91.23077
2020-11-16 06:12:49.7500000	91.07693
2020-11-16 06:12:50.0000000	91.07693
2020-11-16 06:12:50.2500000	91.07693
2020-11-16 06:12:50.5000000	90.92308
2020-11-16 06:12:50.7500000	91.07693
2020-11-16 06:12:51.0000000	91.00001
2020-11-16 06:12:51.2500000	90.92308
2020-11-16 06:12:51.5000000	91.00001
2020-11-16 06:12:51.7500000	90.76923
2020-11-16 06:12:52.0000000	90.84616
2020-11-16 06:12:52.2500000	90.92308
2020-11-16 06:12:52.5000000	90.76923
2020-11-16 06:12:52.7500000	90.76923
2020-11-16 06:12:53.0000000	90.76923
2020-11-16 06:12:53.2500000	90.69231
2020-11-16 06:12:53.5000000	90.69231
2020-11-16 06:12:53.7500000	90.92308
2020-11-16 06:12:54.0000000	91.30769
2020-11-16 06:12:54.2500000	91.38462
2020-11-16 06:12:54.5000000	90.76923
2020-11-16 06:12:54.7500000	90.76923
2020-11-16 06:12:55.0000000	91.46154
2020-11-16 06:12:55.2500000	91.15385
2020-11-16 06:12:55.5000000	91.00001
2020-11-16 06:12:55.7500000	91.30769
2020-11-16 06:12:56.0000000	91.69231
2020-11-16 06:12:56.2500000	91.30769
2020-11-16 06:12:56.5000000	91.30769
2020-11-16 06:12:56.7500000	91.30769
2020-11-16 06:12:57.0000000	91.61539
2020-11-16 06:12:57.2500000	91.23077
2020-11-16 06:12:57.5000000	91.15385
2020-11-16 06:12:57.7500000	91.15385
2020-11-16 06:12:58.0000000	91.23077
2020-11-16 06:12:58.2500000	90.76923
2020-11-16 06:12:58.5000000	91.07693
2020-11-16 06:12:58.7500000	90.84616
2020-11-16 06:12:59.0000000	90.76923
2020-11-16 06:12:59.2500000	91.00001
2020-11-16 06:12:59.5000000	90.69231
2020-11-16 06:12:59.7500000	90.69231
2020-11-16 06:13:00.0000000	91.00001
2020-11-16 06:13:00.2500000	90.69231
2020-11-16 06:13:00.5000000	90.92308
2020-11-16 06:13:00.7500000	91.38462
2020-11-16 06:13:01.0000000	91.07693
2020-11-16 06:13:01.2500000	91.53847
2020-11-16 06:13:01.5000000	91.30769
2020-11-16 06:13:01.7500000	91.38462
2020-11-16 06:13:02.0000000	91.07693
2020-11-16 06:13:02.2500000	91.15385
2020-11-16 06:13:02.5000000	91.00001
2020-11-16 06:13:02.7500000	91.07693
2020-11-16 06:13:03.0000000	90.69231
2020-11-16 06:13:03.2500000	91.00001
2020-11-16 06:13:03.5000000	90.92308
2020-11-16 06:13:03.7500000	91.07693
2020-11-16 06:13:04.0000000	90.69231
2020-11-16 06:13:04.2500000	90.92308
2020-11-16 06:13:04.5000000	91.38462
2020-11-16 06:13:04.7500000	91.15385
2020-11-16 06:13:05.0000000	91.15385
2020-11-16 06:13:05.2500000	91.07693
2020-11-16 06:13:05.5000000	91.07693
2020-11-16 06:13:05.7500000	91.00001
2020-11-16 06:13:06.0000000	90.69231
2020-11-16 06:13:06.2500000	90.69231
2020-11-16 06:13:06.5000000	90.92308
2020-11-16 06:13:06.7500000	90.92308
2020-11-16 06:13:07.0000000	90.92308
2020-11-16 06:13:07.2500000	91.07693
2020-11-16 06:13:07.5000000	90.92308
2020-11-16 06:13:07.7500000	90.84616
2020-11-16 06:13:08.0000000	90.69231
2020-11-16 06:13:08.2500000	90.69231
2020-11-16 06:13:08.5000000	90.46154
2020-11-16 06:13:08.7500000	90.46154
2020-11-16 06:13:09.0000000	90.76923
2020-11-16 06:13:09.2500000	90.84616
2020-11-16 06:13:09.5000000	90.76923
2020-11-16 06:13:09.7500000	91.15385
2020-11-16 06:13:10.0000000	91.07693
2020-11-16 06:13:10.2500000	91.30769
2020-11-16 06:13:10.5000000	91.30769
2020-11-16 06:13:10.7500000	91.30769
2020-11-16 06:13:11.0000000	91.61539
2020-11-16 06:13:11.2500000	91.23077
2020-11-16 06:13:11.5000000	91.53847
2020-11-16 06:13:11.7500000	91.53847
2020-11-16 06:13:12.0000000	91.53847
2020-11-16 06:13:12.2500000	91.69231
2020-11-16 06:13:12.5000000	91.84616
2020-11-16 06:13:12.7500000	91.76923
2020-11-16 06:13:13.0000000	91.84616
2020-11-16 06:13:13.2500000	91.92308
2020-11-16 06:13:13.5000000	92.00001
2020-11-16 06:13:13.7500000	91.76923
2020-11-16 06:13:14.0000000	91.92308
2020-11-16 06:13:14.2500000	91.84616
2020-11-16 06:13:14.5000000	92.15385
2020-11-16 06:13:14.7500000	92.00001
2020-11-16 06:13:15.0000000	92.00001
2020-11-16 06:13:15.2500000	92.07693
2020-11-16 06:13:15.5000000	92.23077
2020-11-16 06:13:15.7500000	92.15385
2020-11-16 06:13:16.0000000	92.07693
2020-11-16 06:13:16.2500000	92.00001
2020-11-16 06:13:16.5000000	91.76923
2020-11-16 06:13:16.7500000	91.76923
2020-11-16 06:13:17.0000000	91.84616
2020-11-16 06:13:17.2500000	91.76923
2020-11-16 06:13:17.5000000	91.84616
2020-11-16 06:13:17.7500000	91.92308
2020-11-16 06:13:18.0000000	91.84616
2020-11-16 06:13:18.2500000	92.00001
2020-11-16 06:13:18.5000000	91.76923
2020-11-16 06:13:18.7500000	91.92308
2020-11-16 06:13:19.0000000	91.76923
2020-11-16 06:13:19.2500000	91.92308
2020-11-16 06:13:19.5000000	91.76923
2020-11-16 06:13:19.7500000	91.61539
2020-11-16 06:13:20.0000000	91.76923
2020-11-16 06:13:20.2500000	91.76923
2020-11-16 06:13:20.5000000	91.61539
2020-11-16 06:13:20.7500000	91.84616
2020-11-16 06:13:21.0000000	91.53847
2020-11-16 06:13:21.2500000	91.84616
2020-11-16 06:13:21.5000000	91.69231
2020-11-16 06:13:21.7500000	91.69231
2020-11-16 06:13:22.0000000	91.76923
2020-11-16 06:13:22.2500000	91.46154
2020-11-16 06:13:22.5000000	88.61539
2020-11-16 06:13:22.7500000	87.15385
2020-11-16 06:13:23.0000000	84.30769
2020-11-16 06:13:23.2500000	81.23077
2020-11-16 06:13:23.5000000	78
2020-11-16 06:13:23.7500000	70.92308
2020-11-16 06:13:24.0000000	67.69231
2020-11-16 06:13:24.2500000	64.38462
2020-11-16 06:13:24.5000000	61.84615
2020-11-16 06:13:24.7500000	59.61539
2020-11-16 06:13:25.0000000	57.30769
2020-11-16 06:13:25.2500000	55.84615
2020-11-16 06:13:25.5000000	54.69231
2020-11-16 06:13:25.7500000	53.61539
2020-11-16 06:13:26.0000000	53.07693
2020-11-16 06:13:26.2500000	52.84615
2020-11-16 06:13:26.5000000	52.38462
2020-11-16 06:13:26.7500000	52.53847
2020-11-16 06:13:27.0000000	52.38462
